symbol,min_buy,max_buy,last_buy,mean_buy
ARS,87062903.8,87062903.8,87062903.8,87062903.8
AUD,133748.65,133748.65,133748.65,133748.65
BRL,501561.28,501561.28,501561.28,501561.28
CAD,121814.06,121814.06,121814.06,121814.06
CHF,77078.06,77078.06,77078.06,77078.06
CLP,85944303.27,85944303.27,85944303.27,85944303.27
CNY,629124.45,629124.45,629124.45,629124.45
CZK,2082121.03,2082121.03,2082121.03,2082121.03
DKK,613244.46,613244.46,613244.46,613244.46
EUR,82208.33,82208.33,82208.33,82208.33
GBP,68490.09,68490.09,68490.09,68490.09
HKD,678743.94,678743.94,678743.94,678743.94
HRK,402493.83,402493.83,402493.83,402493.83
HUF,33642903.28,33642903.28,33642903.28,33642903.28
INR,7363519.93,7363519.93,7363519.93,7363519.93
ISK,11407668.0,11407668.0,11407668.0,11407668.0
JPY,13519469.79,13519469.79,13519469.79,13519469.79
KRW,122239394.84,122239394.84,122239394.84,122239394.84
NGN,146293095.67,146293095.67,146293095.67,146293095.67
NZD,147271.0,147271.0,147271.0,147271.0
PLN,357219.11,357219.11,357219.11,357219.11
RON,319894.22,319894.22,319894.22,319894.22
RUB,8599361.91,8599361.91,8599361.91,8599361.91
SEK,951412.53,951412.53,951412.53,951412.53
SGD,116721.74,116721.74,116721.74,116721.74
THB,3026994.42,3026994.42,3026994.42,3026994.42
TRY,2998050.28,2998050.28,2998050.28,2998050.28
TWD,2830285.24,2830285.24,2830285.24,2830285.24
USD,87258.42,87258.42,87258.42,87258.42
ARS,87062903.8,87062903.8,87062903.8,87062903.8
AUD,133748.65,133748.65,133748.65,133748.65
BRL,501561.28,501561.28,501561.28,501561.28
CAD,121814.06,121814.06,121814.06,121814.06
CHF,77078.06,77078.06,77078.06,77078.06
CLP,85944303.27,85944303.27,85944303.27,85944303.27
CNY,629124.45,629124.45,629124.45,629124.45
CZK,2082121.03,2082121.03,2082121.03,2082121.03
DKK,613244.46,613244.46,613244.46,613244.46
EUR,82208.33,82208.33,82208.33,82208.33
GBP,68490.09,68490.09,68490.09,68490.09
HKD,678743.94,678743.94,678743.94,678743.94
HRK,402493.83,402493.83,402493.83,402493.83
HUF,33642903.28,33642903.28,33642903.28,33642903.28
INR,7363519.93,7363519.93,7363519.93,7363519.93
ISK,11407668.0,11407668.0,11407668.0,11407668.0
JPY,13519469.79,13519469.79,13519469.79,13519469.79
KRW,122239394.84,122239394.84,122239394.84,122239394.84
NGN,146293095.67,146293095.67,146293095.67,146293095.67
NZD,147271.0,147271.0,147271.0,147271.0
PLN,357219.11,357219.11,357219.11,357219.11
RON,319894.22,319894.22,319894.22,319894.22
RUB,8599361.91,8599361.91,8599361.91,8599361.91
SEK,951412.53,951412.53,951412.53,951412.53
SGD,116721.74,116721.74,116721.74,116721.74
THB,3026994.42,3026994.42,3026994.42,3026994.42
TRY,2998050.28,2998050.28,2998050.28,2998050.28
TWD,2830285.24,2830285.24,2830285.24,2830285.24
USD,87258.42,87258.42,87258.42,87258.42
ARS,87062903.8,87062903.8,87062903.8,87062903.8
